Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pF,C1548
C11,0402,1,100pF,C23733
"C12, C31, C5, C7, C8",0402,5,100nF,C23733
"C14, C15",0402,2,1uF,C23733
"C19, C20, C6",0402,3,4.7uF,C23733
"C3, C30",0402,2,0.8pF,C1550
C4,0402,1,0.5pF,C1550
C9,0402,1,820pF,C23733
L1,0402,1,4.7nH,C14033
L3,0402,1,5.6nH,
P1,USB_C_Plug_Molex_105444,1,USB_C_Plug_USB2.0,
R1,0402,1,2.2,
"R4, R5",0402,2,5.1K,
TP1,TestPoint_Pad_2.0x2.0mm,1,SWD,
TP2,TestPoint_Pad_2.0x2.0mm,1,SWC,
U1,SOT-666,1,USBLC6-2P6,
U2,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,C190794
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C255896
