Designator,Mid X,Mid Y,Rotation,Layer
AE1,137.1775,-89.79,180.0,top
C1,136.24,-85.92,270.0,top
C11,141.2,-84.5425,180.0,top
C12,141.6775,-83.0025,90.0,top
C14,141.06,-75.55,270.0,top
C15,141.6775,-78.6725,90.0,top
C19,132.544,-78.0025,90.0,top
C2,132.49,-85.91,90.0,top
C20,134.3,-75.54,270.0,top
C3,138.8875,-84.5425,180.0,top
C30,141.144,-85.969,90.0,top
C31,139.21,-75.54,90.0,top
C4,138.93,-86.42,0.0,top
C5,140.13,-75.54,270.0,top
C6,135.23,-75.55,270.0,top
C7,133.13,-80.72,90.0,top
C8,133.1275,-82.5425,270.0,top
C9,136.6775,-84.5425,0.0,top
L1,138.92,-85.49,180.0,top
L3,142.244,-86.969,90.0,top
P1,137.194,-71.469,0.0,top
R1,133.1275,-76.1625,90.0,top
R4,139.4,-73.9,0.0,top
R5,135.21,-73.9,180.0,top
U1,137.2425,-74.93,270.0,top
U2,137.4075,-80.2725,270.0,top
Y1,134.36,-85.51,180.0,top
